,index,total_flow,station_id,station_name
0,246,44237,3256,Pier 40 - Hudson River Park
1,1035,41067,499,Broadway & W 60 St
2,778,38115,3906,West St & Liberty St
3,23,33070,2008,Little West St & 1 Pl
4,9,32314,151,Cleveland Pl & Spring St
5,675,30500,380,W 4 St & 7 Ave S
6,170,30455,3137,5 Ave & E 73 St
7,1017,29668,478,11 Ave & W 41 St
8,1056,27851,528,2 Ave & E 31 St
9,992,27696,447,8 Ave & W 52 St
10,38,27055,237,E 11 St & 2 Ave
11,49,25902,251,Mott St & Prince St
12,1019,25454,480,W 53 St & 10 Ave
13,436,24772,350,Clinton St & Grand St
14,4,24424,128,MacDougal St & Prince St
15,111,24386,307,Canal St & Rutgers St
16,1018,23973,479,9 Ave & W 45 St
17,1032,23946,495,W 47 St & 10 Ave
18,1001,23501,460,S 4 St & Wythe Ave
19,197,23308,3167,Amsterdam Ave & W 73 St
20,1066,22916,545,E 23 St & 1 Ave
21,256,22907,3282,5 Ave & E 88 St
22,397,22754,3423,West Drive & Prospect Park West
23,993,22380,448,W 37 St & 10 Ave
24,962,22310,411,E 6 St & Avenue D
25,91,22204,305,E 58 St & 3 Ave
26,248,22192,326,E 11 St & 1 Ave
27,986,21857,439,E 4 St & 2 Ave
28,153,21474,312,Allen St & Stanton St
29,623,21303,3735,W 30 St & 10 Ave
30,181,21222,315,South St & Gouverneur Ln
31,48,21156,250,Lafayette St & Jersey St
32,204,21051,3173,Riverside Blvd & W 67 St
33,144,20762,311,Norfolk St & Broome St
34,1058,20739,530,11 Ave & W 59 St
35,314,20689,334,W 20 St & 7 Ave
36,600,20599,3699,W 50 St & 9 Ave
37,985,20441,438,St Marks Pl & 1 Ave
38,965,20353,412,Forsyth St & Canal St
39,3,20315,127,Barrow St & Hudson St
40,162,20005,3129,Queens Plaza North & Crescent St
41,592,19776,3686,Gansevoort St & Hudson St
42,548,19736,361,Allen St & Hester St
43,789,19678,3919,Wall St & South St
44,614,19260,3724,7 Ave & Central Park South
45,754,19220,3881,12 Ave & W 125 St
46,999,19159,458,11 Ave & W 27 St
47,186,19043,3156,E 72 St & York Ave
48,667,18952,379,W 31 St & 7 Ave
49,251,18828,327,Vesey Pl & River Terrace
50,850,18814,398,Atlantic Ave & Furman St
51,956,18689,410,Suffolk St & Stanton St
52,39,18654,238,Bank St & Washington St
53,243,18605,325,E 19 St & 3 Ave
54,54,18467,259,South St & Whitehall St
55,1006,18207,466,W 25 St & 6 Ave
56,335,18066,336,Sullivan St & Washington Sq
57,414,18029,346,Bank St & Hudson St
58,11,17951,161,LaGuardia Pl & W 3 St
59,239,17944,3244,University Pl & E 8 St
60,1039,17929,503,E 20 St & Park Ave
61,1043,17916,508,W 46 St & 11 Ave
62,415,17797,3461,Murray St & Greenwich St
63,899,17680,403,E 2 St & 2 Ave
64,1042,17611,507,E 25 St & 2 Ave
65,247,17477,3259,9 Ave & W 28 St
66,582,17477,3664,North Moore St & Greenwich St
67,1005,17262,465,Broadway & W 41 St
68,134,17159,3096,Union Ave & N 12 St
69,1064,17136,539,Metropolitan Ave & Bedford Ave
70,1025,16958,486,Broadway & W 29 St
71,419,16856,347,Greenwich St & W Houston St
72,59,16772,265,Stanton St & Chrystie St
73,205,16747,3175,W 70 St & Amsterdam Ave
74,1055,16650,526,E 33 St & 5 Ave
75,347,16434,3372,E 74 St & 1 Ave
76,1038,16355,502,Henry St & Grand St
77,1026,16307,487,E 20 St & FDR Drive
78,249,16297,3260,Mercer St & Bleecker St
79,1065,16284,540,Lexington Ave & E 29 St
80,19,16086,2002,Wythe Ave & Metropolitan Ave
81,1063,15934,536,1 Ave & E 30 St
82,180,15915,3148,E 84 St & 1 Ave
83,36,15906,229,Great Jones St
84,719,15828,385,E 55 St & 2 Ave
85,33,15769,223,W 13 St & 7 Ave
86,262,15709,3288,E 88 St & 1 Ave
87,631,15678,3749,Lexington Ave & E 36 St
88,131,15638,3093,N 6 St & Bedford Ave
89,214,15566,319,Fulton St & Broadway
90,50,15546,252,MacDougal St & Washington Sq
91,16,15460,174,E 25 St & 1 Ave
92,146,15326,3112,Milton St & Franklin St
93,1059,15274,531,Forsyth St & Broome St
94,17,15262,195,Liberty St & Broadway
95,812,15119,394,E 9 St & Avenue C
96,18,15058,2000,Front St & Washington St
97,417,14927,3467,W Broadway & Spring St
98,683,14922,3815,E 51 St & 2 Ave
99,487,14888,355,Bayard St & Baxter St
